render_id,canonical_name,category,category_code,policy,original_v5_shift,candidate_shift,difference_from_v5,face_x_after,face_safe,new_edge_clipping,has_new_edge_clipping,tracking_confidence
c101,德雷克,D 机械翼/披风 (德雷克),D,D,42.51,30.88,-11.63,790.88,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9645
c101,德雷克,D 机械翼/披风 (德雷克),D,E,42.51,39.54,-2.97,799.54,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9645
c180,吉萝婷,D 机械翼/披风 (吉洛霆),D,A,32.67,0.0,-32.67,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9679
c180,吉萝婷,D 机械翼/披风 (吉洛霆),D,B,32.67,32.67,0.0,792.67,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9679
c180,吉萝婷,D 机械翼/披风 (吉洛霆),D,C,32.67,31.21,-1.46,791.21,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9679
c180,吉萝婷,D 机械翼/披风 (吉洛霆),D,D,32.67,28.46,-4.21,788.46,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9679
c180,吉萝婷,D 机械翼/披风 (吉洛霆),D,E,32.67,32.31,-0.36,792.31,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9679
c352,海伦,E 宽裙摆 (海伦),E,A,5.39,0.0,-5.39,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9241
c352,海伦,E 宽裙摆 (海伦),E,B,5.39,5.39,0.0,765.39,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9241
c352,海伦,E 宽裙摆 (海伦),E,C,5.39,5.39,0.0,765.39,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9241
c352,海伦,E 宽裙摆 (海伦),E,D,5.39,5.39,0.0,765.39,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9241
c352,海伦,E 宽裙摆 (海伦),E,E,5.39,5.39,0.0,765.39,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9241
c181,梅登,E 宽裙摆 (梅登),E,A,85.65,0.0,-85.65,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9203
c181,梅登,E 宽裙摆 (梅登),E,B,85.65,85.65,0.0,845.65,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9203
c181,梅登,E 宽裙摆 (梅登),E,C,85.65,39.94,-45.71,799.94,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9203
c181,梅登,E 宽裙摆 (梅登),E,D,85.65,31.99,-53.66,791.99,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9203
c181,梅登,E 宽裙摆 (梅登),E,E,85.65,47.72,-37.93,807.72,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9203
c233,桃乐丝,E 宽裙摆 (桃乐丝),E,A,-88.16,0.0,88.16,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9404
c233,桃乐丝,E 宽裙摆 (桃乐丝),E,B,-88.16,-88.16,0.0,671.84,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9404
c233,桃乐丝,E 宽裙摆 (桃乐丝),E,C,-88.16,-39.96,48.2,720.04,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9404
c233,桃乐丝,E 宽裙摆 (桃乐丝),E,D,-88.16,-32.0,56.16,728.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9404
